content,cleaned_text,tokenized_raw_text,tokenized_preprocessed_text,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
gabisa beli tiket jir,gabisa beli tiket jir,"['gabisa', 'beli', 'tiket', 'jir']","['gabisa', 'beli', 'tiket', 'jir']",1,0,4.5.2,2025-09-04 11:13:20,,
"good banget,simple dengan pemesanan tiket via aplikasi, admin, staf juga top banget bus sudah mau brngkat udah mau nunggu penumpang, pulang pergi (bali-jember)",good bangetsimple mesan tiket via aplikasi admin staf top banget bus mau brngkat udah mau nunggu tumpang pulang pergi balijember,"['good', 'bangetsimple', 'dengan', 'pemesanan', 'tiket', 'via', 'aplikasi', 'admin', 'staf', 'juga', 'top', 'banget', 'bus', 'sudah', 'mau', 'brngkat', 'udah', 'mau', 'nunggu', 'penumpang', 'pulang', 'pergi', 'balijember']","['good', 'bangetsimple', 'mesan', 'tiket', 'via', 'aplikasi', 'admin', 'staf', 'top', 'banget', 'bus', 'mau', 'brngkat', 'udah', 'mau', 'nunggu', 'tumpang', 'pulang', 'pergi', 'balijember']",5,0,4.5.2,2025-09-03 06:31:04,,
mau ngecek ongkir kirim paket ga tersedia.. padahal sangat dibutuhkan.. upgrade dong min,mau ngecek ongkir kirim paket tidak sedia padahal sangat butuh upgrade dong min,"['mau', 'ngecek', 'ongkir', 'kirim', 'paket', 'ga', 'tersedia', 'padahal', 'sangat', 'dibutuhkan', 'upgrade', 'dong', 'min']","['mau', 'ngecek', 'ongkir', 'kirim', 'paket', 'tidak', 'sedia', 'padahal', 'sangat', 'butuh', 'upgrade', 'dong', 'min']",1,0,4.5.2,2025-09-02 17:06:03,,
"nyaman banget naik bus damri dari jagakarsa ke airport, penumpang 1 tetap gas pol pak supir",nyaman banget naik bus damri jagakarsa airport tumpang 1 tetap gas pol pak supir,"['nyaman', 'banget', 'naik', 'bus', 'damri', 'dari', 'jagakarsa', 'ke', 'airport', 'penumpang', '1', 'tetap', 'gas', 'pol', 'pak', 'supir']","['nyaman', 'banget', 'naik', 'bus', 'damri', 'jagakarsa', 'airport', 'tumpang', '1', 'tetap', 'gas', 'pol', 'pak', 'supir']",5,0,4.5.1,2025-09-02 07:13:14,,
ini kenapa nik saya gk bisa buat daftar,kenapa nik tidak buat daftar,"['ini', 'kenapa', 'nik', 'saya', 'gk', 'bisa', 'buat', 'daftar']","['kenapa', 'nik', 'tidak', 'buat', 'daftar']",3,0,,2025-08-31 07:00:03,,
sangat membantu,sangat bantu,"['sangat', 'membantu']","['sangat', 'bantu']",5,0,,2025-08-29 18:59:40,,
Abis update aplikasi kok malah lemot banget aplikasinya,abis update aplikasi kok malah lot banget aplikasi,"['abis', 'update', 'aplikasi', 'kok', 'malah', 'lemot', 'banget', 'aplikasinya']","['abis', 'update', 'aplikasi', 'kok', 'malah', 'lot', 'banget', 'aplikasi']",1,0,4.5.1,2025-08-28 18:51:45,,
nyaman,nyaman,['nyaman'],['nyaman'],5,0,4.4.5,2025-08-28 14:39:02,,
tepat waktu,tepat waktu,"['tepat', 'waktu']","['tepat', 'waktu']",5,0,,2025-08-28 07:56:48,,
Aplikasi belum sempurna...JELEK,aplikasi sempurnajelek,"['aplikasi', 'belum', 'sempurnajelek']","['aplikasi', 'sempurnajelek']",1,0,4.5.1,2025-08-28 06:10:07,,
suka delay,suka delay,"['suka', 'delay']","['suka', 'delay']",1,0,,2025-08-27 21:15:54,,
bagus,bagus,['bagus'],['bagus'],5,0,,2025-08-19 20:35:30,,
"saya pesan tiket DAMRI tanjung karang Bakauheni tapi tidak bisa, email sudah terdaftar tapi tidak bisa lanjut untuk pembayaran",pesan tiket damri tanjung karang bakauheni tidak email daftar tidak lanjut bayar,"['saya', 'pesan', 'tiket', 'damri', 'tanjung', 'karang', 'bakauheni', 'tapi', 'tidak', 'bisa', 'email', 'sudah', 'terdaftar', 'tapi', 'tidak', 'bisa', 'lanjut', 'untuk', 'pembayaran']","['pesan', 'tiket', 'damri', 'tanjung', 'karang', 'bakauheni', 'tidak', 'email', 'daftar', 'tidak', 'lanjut', 'bayar']",1,0,4.5.1,2025-08-19 15:18:57,"Halo kak, mohon maaf atas ketidaknyamanannya. Terkait kendala pada Aplikasi dapat disampaikan kepada kami melklui Hallo DAMRI 1500825 atau melklui layanan Whatsapp DAMRI ke nomor 0811-2110-0825 ya kak.
Terima kasih",2025-08-25 08:40:28
bis sering mogoknya.,bis sering mogok,"['bis', 'sering', 'mogoknya']","['bis', 'sering', 'mogok']",1,0,,2025-08-19 01:04:17,"Mohon maaf atas pengalaman kurang menyenangkan yang kakak alami. Tim kami sedang memperketat perawatan pada Armada agar perjalanan lebih lancar dan aman. Terkait kendala armada, mohon dapat disampaikan rute dan kode bus nya kepada kami melalui Hallo DAMRI 1500825 atau melalui layanan Whatsapp DAMRI ke nomor 0811-2110-0825 ya kak.
Terima kasih",2025-08-25 08:47:38
"kalo kata gue mah ganti tuh programmer/developernya, aplikasi apaan minta update tiap beberapa hari, software lu gak stabil apa kurang anggaran. hire orang2 yg emg ahli dibidangnya",kalo kata gue mah ganti tuh programmerdevelopernya aplikasi apa minta update tiap beberapa hari software lu tidak stabil apa kurang anggar hire orang2 emg ahli bidang,"['kalo', 'kata', 'gue', 'mah', 'ganti', 'tuh', 'programmerdevelopernya', 'aplikasi', 'apaan', 'minta', 'update', 'tiap', 'beberapa', 'hari', 'software', 'lu', 'gak', 'stabil', 'apa', 'kurang', 'anggaran', 'hire', 'orang2', 'yg', 'emg', 'ahli', 'dibidangnya']","['kalo', 'kata', 'gue', 'mah', 'ganti', 'tuh', 'programmerdevelopernya', 'aplikasi', 'apa', 'minta', 'update', 'tiap', 'beberapa', 'hari', 'software', 'lu', 'tidak', 'stabil', 'apa', 'kurang', 'anggar', 'hire', 'orang2', 'yg', 'emg', 'ahli', 'bidang']",2,0,4.5.1,2025-08-18 00:19:13,,
